йЫДИЙЭР DSLAM;EMS DSLAM Name;╪МОЛА DSLAM;DSLAM Uplink Port;╪МОЛА еНОПКИСЛОЩ еПЭЛЕМОУ Hop;тЩПОР еНОПКИСЛОЩ еПЭЛЕМОУ Hop;пЭЯТА еПЭЛЕМОУ Hop;TЩПОР пЭЯТАР еПЭЛЕМОУ Hop;йЫДИЙЭР EETT DSLAM;пЕЯИЖщЯЕИА DSLAM;дИАЛщЯИСЛА DSLAM;оМОЛАСъА йщМТЯОУ DSLAM;DSLAM тей;DSLAM ONU;йЫДИЙЭР йщМТЯОУ DSLAM;йЫДИЙЭР EETT еПЭЛЕМОУ Hop;пЕЯИЖщЯЕИА еПЭЛЕМОУ Hop;дИАЛщЯИСЛА еПЭЛЕМОУ Hop;оМОЛАСъА йщМТЯОУ еПЭЛЕМОУ Hop;тей еПЭЛЕМОУ Hop;ONU еПЭЛЕМОУ Hop;йЫДИЙЭР йщМТЯОУ еПЭЛЕМОУ Hop
507;PERAMA-XD-507;PEIR/KERA/L002/DS_XDcmb/001;1;DSLAM SWITCH;SWTATM;402;GENPRT;60136;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. ац.цеыяциоу;1353; ;пеяала; ; ; ; ; ; ; 
2220;ATTIC_NEA.IONIA_D_ZTE_2220-2221;AATT/NION/L001/DS_8220/002;3;asw-nion9ka-nionia-8508a;SWTETH;7;ETHPRT;60260;т.п.мотиас екк.;т.д. ахгмас;т.е.й. меас  иымиас;1153; ;м. иымиа;60260;т.п.мотиас екк.;т.д. ахгмас;т.е.й. меас  иымиас;1153; ;м. иымиа
2221;ATTIC_NEA.IONIA_D_ZTE_2220-2221;AATT/NION/L001/DS_8220/002;3;asw-nion9ka-nionia-8508a;SWTETH;7;ETHPRT;60260;т.п.мотиас екк.;т.д. ахгмас;т.е.й. меас  иымиас;1153; ;м. иымиа;60260;т.п.мотиас екк.;т.д. ахгмас;т.е.й. меас  иымиас;1153; ;м. иымиа
2300;ATTIC_KORYDALLOS_D_ZTE_2300-2301;PEIR/KORY/L001/DS_8220/002;3;asw-pir2-koridalos-8508a;SWTETH;9;ETHPRT;60263;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. мийаиас;1351; ;йояудаккос;60263;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. мийаиас;1351; ;йояудаккос
2301;ATTIC_KORYDALLOS_D_ZTE_2300-2301;PEIR/KORY/L001/DS_8220/002;3;asw-pir2-koridalos-8508a;SWTETH;9;ETHPRT;60263;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. мийаиас;1351; ;йояудаккос;60263;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. мийаиас;1351; ;йояудаккос
2304;ATTIC_PERAMA_1_2_D_ZTE_2304-2858;PEIR/KERA/L002/DS_8220/001;4;asw-pir2-perama-8505a;SWTETH;5;ETHPRT;60136;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. ац.цеыяциоу;1353; ;пеяала;60136;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. ац.цеыяциоу;1353; ;пеяала
2305;ATTIC_SALAMINA_1_2_D_ZTE_2305;PEIR/SALA/L004/DS_8220/001;4;asw-pir2-salamina-8505a;SWTETH;5;ETHPRT;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима
2305;ATTIC_SALAMINA_1_2_D_ZTE_2305;PEIR/SALA/L004/DS_8220/001;2;PEIR/KERA/L002/DS_8220/001;DSLAM;1;ITLNKPRT;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима;60136;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. ац.цеыяциоу;1353; ;пеяала
2305;ATTIC_SALAMINA_1_2_D_ZTE_2305;PEIR/SALA/L004/DS_8220/001;2;PEIR/KERA/L002/DS_8220/001;DSLAM;1;ITLNKPRT;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима
2305;ATTIC_SALAMINA_1_2_D_ZTE_2305;PEIR/SALA/L004/DS_8220/001;4;asw-pir2-salamina-8505a;SWTETH;5;ETHPRT;420051;т.п.мотиас екк.;т.д. мгсым;т.е.й. сакалимас;1354; ;сакалима;60136;т.п.мотиас екк.;т.д.пеия./дут.атт;т.е.й. ац.цеыяциоу;1353; ;пеяала
2347;172.19.212.118#KYKLA_IOS_D_NSN_2347;KYKL/THIR/L005/DS_H1000/001;5;DSLAM SWITCH;SWTATM;1375;GENPRT;340073;т.п.мотиас екк.;т.д. мгсым;й.е.   иоу;3020; ;иос; ; ; ; ; ; ; 
2395;172.19.215.34#EVOIA_ISTIAIA_D_NSN_2395;EYVO/AIDI/L007/DS_H1000/001;1;DSLAM SWITCH;SWTATM;336;GENPRT;130082;т.п.мотиас екк.;т.д. йемтя. екк/еуб.;й.е.   истиаиас;2206; ;истиаиа; ; ; ; ; ; ; 
2437;172.19.215.206#EVOIA_DROSIA_D_NSN_2437;EYVO/HALK/L001/DS_H1000/001;1;DSLAM SWITCH;SWTATM;1286;GENPRT;130063;т.п.мотиас екк.;т.д. йемтя. екк/еуб.;т.е.й. вакйидас;2201; ;дяосиа; ; ; ; ; ; ; 
